application_id,outcome,monthly_income,effective_monthly_income,monthly_stable_income,monthly_gig_income,income_stability_score,income_regularity_score,has_verifiable_income,income_sources_count,income_trend,income_trend_pct,average_balance,minimum_balance,maximum_balance,days_in_overdraft,overdraft_frequency,overdraft_days_per_month,end_of_month_average,failed_payments_count,failed_payments_count_45d,bank_charges_count_90d,gambling_percentage,gambling_frequency,debt_collection_activity,new_credit_providers_90d,savings_activity,savings_behavior_score,has_gambling_concern,has_failed_payment_concern,has_new_credit_burst,flag_low_income_stability,flag_low_debt_management,flag_low_credit_activity,flag_no_savings,risk_flag_count,risk_tier,debt_to_income_ratio,essential_ratio,monthly_disposable,post_loan_disposable,disposable_ratio,max_affordable_amount,monthly_debt_payments,monthly_hcstc_payments,active_hcstc_count,active_hcstc_count_90d,monthly_essential_total,monthly_discretionary_total,error
RECORD_654463,1,3819.335000000001,3819.335000000001,1952.516666666667,0.0,56.5,40.0,1.0,1.0,increasing,76.5,400.6,-409.8,2274.56,2.0,2.0,0.67,400.6,23.0,5.0,7.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,38.4,37.2,1060.85,814.25,27.8,1500.0,1468.2849999999978,275.4533333333334,24.0,8.0,1290.2049999999995,0.0,
RECORD_654763,2,6352.968333333331,6352.968333333331,77.66666666666667,0.0,56.5,60.0,1.0,1.0,increasing,62.9,379.82,-2242.55,3311.05,19.0,17.0,6.33,379.82,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,WATCH,3.2,29.1,4449.41,4202.81,70.0,1500.0,203.26333333333335,0.0,0.0,0.0,1489.9716666666668,210.3233333333334,
RECORD_654812,2,13552.861666666666,13552.861666666666,50.0,6.218333333333334,53.1,60.0,1.0,2.0,decreasing,-35.3,167.7,-712.29,1806.34,143.0,42.0,47.67,167.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,CLEAN,5.3,43.8,7403.02,7156.42,54.6,1500.0,719.0416666666665,244.5733333333333,6.0,2.0,5028.075000000002,402.72833333333307,
RECORD_654872,2,2634.888333333333,2634.8883333333333,1964.3466666666666,0.49666666666666665,87.5,40.0,1.0,2.0,stable,2.5,451.52,-384.02,1989.91,11.0,11.0,3.67,451.52,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,WATCH,20.0,75.6,278.68,32.08,10.6,463.68,527.7033333333333,255.71999999999994,3.0,3.0,1638.8766666666716,189.62333333333348,
RECORD_654886,2,4479.163333333334,4479.163333333334,2071.07,11.405000000000001,74.2,40.0,1.0,2.0,decreasing,-21.6,-1340.81,-2265.65,-51.09,255.0,0.0,85.0,-1340.81,0.0,0.0,0.0,0.0,0.0,22.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,WATCH,7.8,76.2,989.32,742.72,22.1,1500.0,350.19666666666666,34.26,2.0,1.0,2743.754999999999,395.89666666666665,
RECORD_655260,2,2641.6416666666664,2641.6416666666664,23.125,0.0,84.8,40.0,1.0,1.0,stable,-9.0,-478.94,-1250.23,1436.16,217.0,12.0,72.33,-478.94,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,WATCH,20.3,64.9,510.36,263.76,19.3,933.41,537.2966666666667,185.41166666666672,1.0,1.0,1213.6250000000005,380.3616666666668,
RECORD_655265,1,7611.169999999999,7611.169999999999,265.7733333333333,0.0,55.9,60.0,1.0,1.0,decreasing,-22.2,17.06,-705.08,3750.0,203.0,49.0,67.67,17.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.09,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,CLEAN,8.5,40.6,4155.45,3908.85,54.6,1500.0,644.3983333333334,165.01333333333335,2.0,0.0,2800.026666666666,11.29166666666667,
RECORD_655280,1,7320.139999999999,7320.14,4907.56,0.0,78.3,60.0,1.0,1.0,decreasing,-12.9,317.33,-756.35,3707.41,208.0,22.0,69.33,317.33,12.0,2.0,3.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,11.0,56.8,2629.53,2382.93,35.9,1500.0,801.8516666666667,584.555,6.0,4.0,2666.066666666666,1222.6883333333317,
RECORD_655476,2,4889.921666666666,4889.921666666666,7.133333333333333,0.0,90.0,60.0,1.0,1.0,stable,-0.2,333.75,-730.07,3533.83,28.0,27.0,9.33,333.75,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,25.6,59.9,960.43,713.83,19.6,1500.0,1250.8700000000001,753.2216666666667,57.0,17.0,2526.544999999999,152.07500000000005,
RECORD_655706,2,9880.11,9880.11,7615.703333333334,0.0,75.7,60.0,1.0,1.0,stable,3.5,1195.85,-999.15,8022.38,57.0,27.0,19.0,1195.85,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,13.9,80.4,1236.42,989.82,12.5,1500.0,1377.3566666666666,307.1683333333333,7.0,2.0,6726.1933333333345,540.135,
